EPIC,Campaign,Candidate,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
211413752,5,211413752.01,1.783,0.101,1.338,0.130,2.1513130,0.0002074,0.02955,0.00073,368.649,42.002,111.487,0.164
211413752,5,211413752.02,1.936,0.089,1.478,0.137,4.5288080,0.0005406,0.04848,0.00154,140.600,16.181,111.487,0.135
211413752,5,211413752.03,3.183,0.146,2.436,0.192,9.3268300,0.0004223,0.07864,0.00250,51.784,5.436,111.487,0.118
211413752,18,211413752.03,3.162,0.152,2.393,0.230,9.3279040,0.0020302,0.07909,0.00206,53.280,5.079,147.149,0.252
211413752,16,211413752.03,3.295,0.128,2.486,0.233,9.3300880,0.0014426,0.07872,0.00199,52.682,5.254,148.260,0.092
211418729,5,211418729.01,13.330,1.471,10.368,1.383,11.3909790,0.0001108,0.09018,0.00266,41.255,4.729,130.503,0.606
211418729,18,211418729.01,12.857,1.373,10.147,1.392,11.3910020,0.0004945,0.09048,0.00263,41.337,4.422,208.091,0.580
211432922,5,211432922.01,6.967,1.255,4.115,0.763,5.8188740,0.0010149,0.05283,0.00108,27.107,4.869,1163.776,0.503
211436313,16,211436313.01,3.121,0.329,2.199,0.260,4.3328370,0.0003216,0.04577,0.00129,114.288,9.143,141.067,0.312
211438731,16,211438731.01,7.418,0.464,2.755,0.179,20.4864550,0.0011310,0.10395,0.00100,1.477,0.049,424.376,0.722
211451776,16,211451776.01,3.523,0.201,2.131,0.194,12.1768200,0.0014857,0.09666,0.02052,15.832,20.046,150.027,0.232
211469889,5,211469889.01,2.704,0.289,1.867,0.231,7.0769400,0.0007550,0.06440,0.00169,63.244,6.453,225.534,0.223
211490999,16,211490999.01,3.396,0.161,3.091,0.290,9.8430930,0.0014423,0.08642,0.00198,91.861,7.991,173.393,0.597
211490999,5,211490999.01,3.200,0.096,2.886,0.260,9.8440770,0.0006368,0.08660,0.00230,91.423,8.150,60.342,0.337
211490999,18,211490999.01,3.367,0.114,3.019,0.233,9.8471220,0.0006922,0.08683,0.00222,88.018,8.382,50.182,0.354
211502222,16,211502222.01,1.700,0.143,1.713,0.196,9.3988120,0.0011609,0.08661,0.00251,138.303,13.790,43.416,0.367
211502222,16,211502222.02,2.585,0.229,2.653,0.304,22.9934330,0.0023083,0.15819,0.00414,42.187,3.600,43.416,0.555
211506851,18,211506851.01,3.421,0.358,3.097,0.362,10.5421790,0.0006747,0.09059,0.00218,79.087,6.700,59.660,0.526
211510580,18,211510580.01,3.915,0.260,1.380,0.098,5.3150030,0.0010173,0.04158,0.00043,8.498,0.400,233.841,0.261
211510580,5,211510580.01,3.663,0.182,1.280,0.074,5.3150380,0.0002833,0.04163,0.00046,8.514,0.403,166.356,0.165
211525389,18,211525389.01,3.628,0.093,3.212,0.235,8.2679810,0.0003251,0.07632,0.00232,103.934,10.335,55.891,0.271
211525753,18,211525753.01,2.321,0.316,2.022,0.333,5.7416680,0.0020978,0.06059,0.00154,191.885,18.953,124.974,0.357
211529065,5,211529065.01,1.602,0.166,1.216,0.162,1.5434470,0.0001882,0.02338,0.00066,487.393,50.435,89.685,0.243
211529065,18,211529065.02,4.345,0.559,3.208,0.465,4.3997430,0.0003473,0.04707,0.00135,119.391,11.009,105.972,0.703
211529065,5,211529065.02,4.672,0.678,3.459,0.595,4.3997610,0.0001210,0.04705,0.00130,119.220,11.731,89.685,0.862
211529065,16,211529065.02,4.245,0.491,3.190,0.415,4.3997670,0.0001593,0.04689,0.00124,121.727,10.719,251.636,0.741
211533633,16,211533633.01,2.693,0.141,1.535,0.099,2.1266070,0.0001446,0.02701,0.00028,102.064,4.357,143.940,0.232
211535327,18,211535327.01,3.121,0.315,2.492,0.277,20.2371570,0.0036219,0.13697,0.00366,27.719,2.399,129.776,0.259
211537087,18,211537087.01,2.900,0.303,2.377,0.304,21.0245250,0.0042569,0.14208,0.00368,28.336,2.461,51.727,0.583
211539054,5,211539054.01,1.384,0.139,2.064,0.257,11.0206600,0.0015428,0.10368,0.00319,243.037,23.212,27.204,0.666
211552050,16,211552050.01,2.718,0.298,1.945,0.226,3.5447330,0.0001201,0.03986,0.00101,130.135,12.619,99.702,0.598
211579683,5,211579683.01,2.722,0.281,2.067,0.268,9.0118710,0.0009403,0.07584,0.00198,48.905,5.368,164.104,0.218
211611158,16,211611158.01,2.163,0.185,1.925,0.194,26.3541470,0.0037717,0.16883,0.00450,28.253,2.548,91.440,0.348
211619805,16,211619805.01,4.649,0.807,3.228,0.565,8.6499280,0.0002480,0.07496,0.01491,25.190,65.481,67.650,0.962
211631538,16,211631538.01,6.670,1.151,4.973,0.974,5.5130450,0.0001739,0.05485,0.00140,90.058,10.583,184.832,0.948
211647930,16,211647930.01,5.103,0.139,6.158,0.491,14.7587870,0.0010475,0.12140,0.00327,101.550,8.394,62.495,0.523
211673349,16,211673349.01,5.329,0.595,3.691,0.477,4.8941730,0.0000810,0.05557,0.00955,48.875,45.963,109.382,0.257
211679060,18,211679060.01,2.583,0.271,2.634,0.341,12.6017810,0.0041085,0.10536,0.00280,96.081,9.845,64.229,0.731
211690072,16,211690072.01,1.859,0.187,2.489,0.305,19.5849890,0.0044856,0.14931,0.00421,91.568,8.889,58.570,0.507
211711685,18,211711685.01,1.463,0.069,1.332,0.101,15.4604470,0.0050576,0.11770,0.00327,52.343,4.968,34.935,0.212
211711685,5,211711685.01,1.373,0.074,1.247,0.110,15.4628070,0.0030283,0.11693,0.00329,52.893,5.176,23.576,0.473
211713099,18,211713099.01,7.541,0.664,6.873,0.747,8.5617820,0.0002013,0.07985,0.00247,121.896,12.500,87.475,0.598
211713099,5,211713099.01,7.668,0.784,7.060,0.851,8.5621160,0.0003529,0.07989,0.00225,121.027,12.332,90.350,0.664
