KIC,KOI,Rp/Rs,e_Rp/Rs,Radius,e_Radius,Period,e_Period,a,e_a,Flux,e_Flux,CDPP,b
3545478,366.01,6.956,0.228,12.483,0.943,75.112213200,0.000027600,0.39674,0.00958,34.1477,3.0901,56.244,0.52115
3545840,6102.01,1.048,0.110,2.880,0.391,54.291633600,0.000827000,0.34339,0.00917,113.2060,13.2453,47.220,0.27943
3546060,2126.01,3.525,0.513,2.676,0.409,9.693108370,0.000030350,0.07901,0.00201,37.3016,3.7957,243.723,0.50425
3548044,2194.02,1.802,0.084,2.238,0.171,67.968656000,0.000585400,0.33690,0.00825,13.3946,1.3042,60.167,0.28444
3548044,2194.01,1.887,0.280,2.385,0.389,34.763054300,0.000213200,0.21355,0.00612,32.8721,3.3510,60.167,0.60248
3548044,2194.03,1.453,0.095,1.797,0.159,445.216850000,0.018120000,1.17412,0.03458,1.0857,0.1171,60.167,0.00000
3553900,4992.01,1.811,0.149,1.723,0.195,12.574720700,0.000126900,0.10132,0.00271,62.4582,6.8782,235.487,0.48798
3554031,1194.01,3.656,0.211,2.261,0.198,8.707983090,0.000029270,0.07501,0.01280,21.9318,20.1013,329.274,0.06202
3554031,1194.03,2.244,0.144,1.346,0.133,4.176342760,0.000024260,0.04770,0.00837,53.8969,168.5611,329.274,0.16885
3554031,1194.02,2.808,0.205,1.715,0.167,14.862307600,0.000130400,0.10724,0.01688,10.4269,16.1111,329.274,0.35131
3559935,492.01,2.994,0.122,2.645,0.203,29.911188600,0.000094440,0.17667,0.00505,16.3497,1.7958,140.157,0.05331
3559935,492.02,2.411,0.303,2.127,0.312,265.296170000,0.015480000,0.76189,0.01901,0.8684,0.0865,140.157,0.16136
3561464,3398.03,0.902,0.074,1.378,0.153,4.327105790,0.000060450,0.05688,0.00134,966.9668,93.8332,128.250,0.02333
3561464,3398.02,2.004,0.087,3.135,0.262,35.800711200,0.000371300,0.23176,0.00663,58.4351,6.1457,128.250,0.03947
3561464,3398.01,1.277,0.065,1.953,0.178,7.319452940,0.000061600,0.07993,0.00215,491.0246,47.9707,128.250,0.10901
3629119,8242.01,1.707,0.164,1.495,0.181,331.554590000,0.013840000,0.89949,0.02382,0.8096,0.0894,87.094,0.00000
3634051,6103.01,3.101,0.267,3.789,0.409,453.542120000,0.003501000,1.17881,0.02952,1.0363,0.0848,49.938,0.80089
3634051,6103.02,119.264,471.121,142.839,591.600,122.805441600,0.000918100,0.49313,0.01294,5.9288,0.5119,49.938,1.61524
